"GEO_ID","NAME","B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Householder:","Margin of Error!!Total:!!In households:!!Householder:","Estimate!!Total:!!In households:!!Householder:!!Male:","Margin of Error!!Total:!!In households:!!Householder:!!Male:","Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Estimate!!Total:!!In households:!!Householder:!!Female:","Margin of Error!!Total:!!In households:!!Householder:!!Female:","Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Estimate!!Total:!!In households:!!Opposite-sex spouse","Margin of Error!!Total:!!In households:!!Opposite-sex spouse","Estimate!!Total:!!In households:!!Same-sex spouse","Margin of Error!!Total:!!In households:!!Same-sex spouse","Estimate!!Total:!!In households:!!Opposite-sex unmarried partner","Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner","Estimate!!Total:!!In households:!!Same-sex unmarried partner","Margin of Error!!Total:!!In households:!!Same-sex unmarried partner","Estimate!!Total:!!In households:!!Child:","Margin of Error!!Total:!!In households:!!Child:","Estimate!!Total:!!In households:!!Child:!!Biological child","Margin of Error!!Total:!!In households:!!Child:!!Biological child","Estimate!!Total:!!In households:!!Child:!!Adopted child","Margin of Error!!Total:!!In households:!!Child:!!Adopted child","Estimate!!Total:!!In households:!!Child:!!Stepchild","Margin of Error!!Total:!!In households:!!Child:!!Stepchild","Estimate!!Total:!!In households:!!Grandchild","Margin of Error!!Total:!!In households:!!Grandchild","Estimate!!Total:!!In households:!!Brother or sister","Margin of Error!!Total:!!In households:!!Brother or sister","Estimate!!Total:!!In households:!!Parent","Margin of Error!!Total:!!In households:!!Parent","Estimate!!Total:!!In households:!!Parent-in-law","Margin of Error!!Total:!!In households:!!Parent-in-law","Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law","Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law","Estimate!!Total:!!In households:!!Other relatives","Margin of Error!!Total:!!In households:!!Other relatives","Estimate!!Total:!!In households:!!Foster child","Margin of Error!!Total:!!In households:!!Foster child","Estimate!!Total:!!In households:!!Other nonrelatives","Margin of Error!!Total:!!In households:!!Other nonrelatives","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters"
"0500000US39043","Erie County, Ohio","74780","*****","73555","206","31183","528","15130","522","4312","407","10818","517","16053","514","5071","437","10982","544","14490","572","128","91","2248","327","90","57","19528","757","18149","765","548","180","831","222","1869","393","439","178","620","186","166","91","245","104","648","349","3","5","1898","387","1225","206"
"0500000US39045","Fairfield County, Ohio","154457","*****","151481","360","56339","622","29336","678","5686","371","23650","709","27003","770","7485","474","19518","744","31482","765","158","66","3541","408","240","99","48533","886","44745","1006","1028","262","2760","480","2623","374","744","210","1257","279","753","200","573","201","1383","317","42","54","3813","592","2976","360"
"0500000US39047","Fayette County, Ohio","28620","*****","28285","106","11773","239","5643","281","1479","223","4164","307","6130","297","1629","216","4501","318","5447","313","14","12","1009","172","69","55","7835","364","6937","458","148","73","750","277","749","196","198","94","151","70","52","35","93","62","273","114","127","132","495","147","335","106"
"0500000US39049","Franklin County, Ohio","1290360","*****","1262035","1379","511447","2131","247609","2255","75837","1712","171772","2631","263838","2263","88414","1800","175424","2394","200355","2549","2480","322","37561","1572","3269","398","365324","3139","343166","3102","7541","843","14617","1172","25677","1627","16670","1232","15475","1354","2719","443","3352","444","14169","1095","814","433","62723","2606","28325","1379"
"0500000US39051","Fulton County, Ohio","42253","*****","41778","157","16506","209","8618","323","1851","236","6767","355","7888","344","2102","239","5786","357","9322","351","28","25","1156","220","22","22","12416","350","11377","447","346","141","693","198","785","185","276","127","203","84","31","28","84","49","225","95","78","78","646","249","475","157"
"0500000US39053","Gallia County, Ohio","30088","*****","29249","135","11588","358","5628","352","1553","254","4075","340","5960","379","1846","218","4114","382","5959","357","0","24","593","157","0","24","8198","505","7516","525","159","90","523","210","998","254","171","102","364","137","67","69","255","137","368","172","0","24","688","250","839","135"
"0500000US39055","Geauga County, Ohio","93843","*****","92831","187","35298","383","19284","501","3423","280","15861","524","16014","514","4165","360","11849","533","22578","438","86","49","1826","255","33","29","28933","618","27490","615","640","197","803","221","977","230","278","88","514","148","210","79","155","63","469","156","46","42","1428","373","1012","187"
"0500000US39057","Greene County, Ohio","166502","*****","157499","651","65604","690","35268","782","8659","512","26609","824","30336","796","9663","509","20673","847","33028","731","198","81","4109","431","224","92","42519","910","39404","939","921","224","2194","328","2758","409","806","203","1107","245","551","275","359","136","1056","283","233","219","4947","489","9003","651"
"0500000US39059","Guernsey County, Ohio","39111","*****","38597","110","16220","390","8098","318","2124","290","5974","384","8122","392","2595","267","5527","326","7409","371","24","19","1408","253","6","11","9974","513","9191","532","223","121","560","171","1209","348","225","121","393","172","8","9","194","98","390","183","22","17","1115","235","514","110"
"0500000US39061","Hamilton County, Ohio","813589","*****","794983","1023","341873","1658","161205","1519","54088","1306","107117","1571","180668","1689","65093","1425","115575","1611","130947","1756","1119","209","20202","1102","1170","220","227268","2533","215459","2597","4764","630","7045","753","16084","1319","7439","829","6416","700","1161","254","1621","291","9425","1094","1549","662","28709","1675","18606","1023"
"0500000US39063","Hancock County, Ohio","75837","*****","73837","339","31937","450","16901","625","4375","337","12526","598","15036","577","5104","470","9932","501","15660","642","14","19","2418","344","119","70","19310","541","17836","601","373","137","1101","260","1198","303","264","143","203","101","149","77","107","67","365","157","3","6","2090","474","2000","339"
