"GEO_ID","NAME","B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Householder:","Margin of Error!!Total:!!In households:!!Householder:","Estimate!!Total:!!In households:!!Householder:!!Male:","Margin of Error!!Total:!!In households:!!Householder:!!Male:","Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Estimate!!Total:!!In households:!!Householder:!!Female:","Margin of Error!!Total:!!In households:!!Householder:!!Female:","Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Estimate!!Total:!!In households:!!Opposite-sex spouse","Margin of Error!!Total:!!In households:!!Opposite-sex spouse","Estimate!!Total:!!In households:!!Same-sex spouse","Margin of Error!!Total:!!In households:!!Same-sex spouse","Estimate!!Total:!!In households:!!Opposite-sex unmarried partner","Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner","Estimate!!Total:!!In households:!!Same-sex unmarried partner","Margin of Error!!Total:!!In households:!!Same-sex unmarried partner","Estimate!!Total:!!In households:!!Child:","Margin of Error!!Total:!!In households:!!Child:","Estimate!!Total:!!In households:!!Child:!!Biological child","Margin of Error!!Total:!!In households:!!Child:!!Biological child","Estimate!!Total:!!In households:!!Child:!!Adopted child","Margin of Error!!Total:!!In households:!!Child:!!Adopted child","Estimate!!Total:!!In households:!!Child:!!Stepchild","Margin of Error!!Total:!!In households:!!Child:!!Stepchild","Estimate!!Total:!!In households:!!Grandchild","Margin of Error!!Total:!!In households:!!Grandchild","Estimate!!Total:!!In households:!!Brother or sister","Margin of Error!!Total:!!In households:!!Brother or sister","Estimate!!Total:!!In households:!!Parent","Margin of Error!!Total:!!In households:!!Parent","Estimate!!Total:!!In households:!!Parent-in-law","Margin of Error!!Total:!!In households:!!Parent-in-law","Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law","Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law","Estimate!!Total:!!In households:!!Other relatives","Margin of Error!!Total:!!In households:!!Other relatives","Estimate!!Total:!!In households:!!Foster child","Margin of Error!!Total:!!In households:!!Foster child","Estimate!!Total:!!In households:!!Other nonrelatives","Margin of Error!!Total:!!In households:!!Other nonrelatives","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters"
"0500000US39113","Montgomery County, Ohio","531670","*****","513369","961","224328","1502","107576","1695","34853","1067","72723","1687","116752","1645","40545","1162","76207","1616","89663","1491","681","179","15116","844","719","180","142904","2027","132255","2121","3506","518","7143","750","11710","949","3804","414","4041","482","914","173","995","237","4384","656","353","146","13757","1083","18301","961"
"0500000US39115","Morgan County, Ohio","14640","*****","14460","126","6108","208","3229","214","792","130","2437","201","2879","209","993","164","1886","198","3095","202","12","13","425","109","12","18","3710","245","3408","236","72","45","230","83","565","198","54","47","51","36","24","26","35","30","109","59","2","5","258","84","180","126"
"0500000US39117","Morrow County, Ohio","35043","*****","34755","101","12922","311","7145","384","1440","259","5705","357","5777","382","1366","219","4411","320","7503","315","57","41","931","207","26","30","9842","505","8905","524","426","142","511","161","1122","297","215","103","174","116","81","70","225","124","594","252","0","24","1063","321","288","101"
"0500000US39119","Muskingum County, Ohio","86131","*****","84125","263","33878","494","16493","685","4384","430","12109","654","17385","712","5695","409","11690","681","16118","499","103","62","2305","314","76","47","24975","761","23161","832","677","230","1137","240","1743","323","681","199","567","139","298","133","256","105","421","148","141","109","2563","485","2006","263"
"0500000US39121","Noble County, Ohio","14416","*****","12055","321","5067","250","3161","285","1019","186","2142","272","1906","244","632","123","1274","239","2735","209","13","14","263","132","21","23","3011","190","2741","192","66","60","204","100","168","79","90","86","166","138","6","7","34","34","98","69","32","45","351","150","2361","321"
"0500000US39123","Ottawa County, Ohio","40632","*****","39777","215","18051","359","9467","454","2552","227","6915","435","8584","429","2628","212","5956","403","9419","343","22","20","1130","176","27","21","9016","378","8368","400","173","90","475","135","889","232","140","53","105","57","20","17","75","43","273","113","36","32","574","187","855","215"
"0500000US39125","Paulding County, Ohio","18809","*****","18711","94","7705","194","4300","202","992","128","3308","217","3405","199","962","129","2443","208","4186","186","27","23","482","115","0","18","5419","256","4867","291","103","50","449","156","350","100","80","36","99","71","19","17","48","35","64","34","32","28","200","84","98","94"
"0500000US39127","Perry County, Ohio","36022","*****","35679","140","13500","314","6804","354","1344","254","5460","348","6696","365","1556","225","5140","373","6898","396","46","34","1192","209","115","82","10454","408","9527","420","246","109","681","181","1181","314","419","198","414","187","14","22","113","61","300","116","69","80","964","248","343","140"
"0500000US39129","Pickaway County, Ohio","57762","*****","53138","288","19710","335","9856","407","1873","285","7983","456","9854","410","2596","273","7258","470","10699","428","98","60","1487","259","48","48","16021","528","14749","577","275","154","997","239","1446","323","517","171","985","296","243","139","171","57","558","221","69","65","1086","256","4624","288"
"0500000US39131","Pike County, Ohio","28000","*****","27544","174","10959","382","5588","405","1402","258","4186","423","5371","377","1657","258","3714","365","5283","349","145","101","791","232","2","3","7935","499","7262","515","33","34","640","252","1117","311","192","112","287","129","48","41","129","63","120","75","0","21","536","193","456","174"
"0500000US39133","Portage County, Ohio","162511","*****","155242","464","61817","633","31922","788","8765","546","23157","882","29895","756","8931","544","20964","843","29644","700","142","68","4324","404","139","76","43863","966","40456","983","1214","358","2193","391","3114","524","1622","397","1441","306","420","124","784","216","1127","296","155","96","6650","730","7269","464"
"0500000US39135","Preble County, Ohio","41093","*****","40655","127","16251","264","8591","360","1913","223","6678","342","7660","339","2171","174","5489","319","9159","310","32","28","1090","167","52","33","11046","364","10033","375","432","122","581","155","1070","210","178","82","184","81","36","30","192","71","307","145","107","86","951","234","438","127"
"0500000US39137","Putnam County, Ohio","33911","*****","33598","191","13327","168","7302","272","1400","166","5902","287","6025","301","1555","167","4470","307","8178","271","25","26","674","174","8","9","10222","310","9673","324","115","55","434","143","371","131","117","42","46","26","13","18","75","69","145","75","23","34","374","130","313","191"
"0500000US39139","Richland County, Ohio","121100","*****","113969","458","48449","630","24592","695","6221","489","18371","783","23857","727","8556","511","15301","709","23034","670","86","47","2872","367","40","30","30687","877","28793","897","665","216","1229","274","2386","364","828","205","803","212","362","146","240","90","1109","267","217","113","2856","450","7131","458"
"0500000US39141","Ross County, Ohio","76948","*****","71050","347","28802","469","14253","537","3325","352","10928","565","14549","476","4115","337","10434","471","14295","570","135","75","2258","334","85","56","19300","697","17383","684","431","149","1486","362","2129","357","517","149","344","130","145","99","296","146","1102","332","57","88","1585","328","5898","347"
"0500000US39143","Sandusky County, Ohio","59029","*****","57698","236","23574","423","12040","446","2703","289","9337","425","11534","422","3804","307","7730","432","11608","373","47","37","1738","294","13","16","16425","643","15308","661","318","126","799","203","1546","336","243","88","365","140","107","60","110","62","453","171","0","27","1469","282","1331","236"
"0500000US39145","Scioto County, Ohio","76040","*****","72464","329","29858","498","14402","556","3699","391","10703","621","15456","579","5084","350","10372","531","13588","640","127","62","1954","329","73","64","19692","747","17990","778","413","183","1289","262","2756","503","355","130","768","198","255","119","207","85","662","244","63","50","2106","435","3576","329"
"0500000US39147","Seneca County, Ohio","55351","*****","52195","337","21648","355","11574","378","3081","270","8493","399","10074","378","3016","238","7058","354","10373","385","20","20","1944","285","59","44","14497","492","13545","529","236","94","716","174","1095","225","301","123","212","102","56","38","78","46","431","179","38","57","1443","309","3156","337"
"0500000US39149","Shelby County, Ohio","48749","*****","48310","184","18608","277","9907","387","2439","226","7468","392","8701","389","2342","251","6359","413","10170","324","70","54","1266","213","36","31","14593","611","13093","609","453","167","1047","204","989","378","269","112","168","102","82","45","86","46","418","177","96","84","1459","358","439","184"
"0500000US39151","Stark County, Ohio","372404","*****","363358","578","153460","932","75606","1120","20672","824","54934","972","77854","1092","25158","912","52696","1176","70957","1280","492","162","10466","608","480","142","101260","1588","93691","1599","2585","465","4984","659","7097","807","2579","374","2769","423","740","188","832","206","3035","525","515","226","8676","784","9046","578"
"0500000US39153","Summit County, Ohio","541334","*****","531857","671","224726","1131","109771","1408","32717","1122","77054","1571","114955","1590","40392","1006","74563","1608","97889","1275","688","160","14064","787","589","145","150241","1695","141268","1963","3350","439","5623","682","10718","936","5081","714","5488","693","1161","231","1624","351","4352","721","375","158","14861","1170","9477","671"
"0500000US39155","Trumbull County, Ohio","200367","*****","196531","406","85621","891","41758","957","12623","607","29135","908","43863","922","14790","686","29073","906","37388","855","248","120","5998","532","244","102","53131","1146","49028","1271","1202","333","2901","381","4921","625","1341","240","1742","347","441","120","782","180","1398","261","51","39","3225","452","3836","406"
"0500000US39157","Tuscarawas County, Ohio","92335","*****","91243","275","36631","452","18679","614","4302","363","14377","672","17952","611","5881","427","12071","608","19295","640","128","95","2867","323","65","59","25888","846","24081","924","555","205","1252","352","1596","348","594","176","681","212","104","71","183","91","1158","490","62","44","1991","382","1092","275"
"0500000US39159","Union County, Ohio","56707","*****","53540","284","20212","221","11225","399","1955","251","9270","430","8987","408","1973","215","7014","424","12287","395","72","61","1495","272","38","33","16415","465","15400","555","381","205","634","182","749","199","188","83","281","112","249","104","40","28","345","193","0","27","1169","366","3167","284"
"0500000US39161","Van Wert County, Ohio","28261","*****","27953","137","11544","193","6226","266","1347","152","4879","291","5318","286","1632","165","3686","268","6196","262","15","16","822","146","2","5","7942","337","7262","352","207","65","473","139","465","178","182","75","59","36","36","32","43","37","85","53","58","53","504","168","308","137"
"0500000US39163","Vinton County, Ohio","13083","*****","12979","32","5140","211","2677","213","777","155","1900","237","2463","202","668","125","1795","215","2463","233","3","4","348","121","0","18","3614","314","3339","315","55","36","220","116","600","189","169","127","115","63","14","22","114","81","157","101","89","93","153","61","104","32"
"0500000US39165","Warren County, Ohio","229132","*****","221447","1272","82957","816","43663","1165","7653","624","36010","1181","39294","1196","9505","589","29789","1163","51553","959","132","65","3986","451","203","87","71545","1069","66729","1238","2097","505","2719","560","3118","515","857","287","1490","316","533","180","466","155","1404","261","109","112","3094","576","7685","1272"
"0500000US39167","Washington County, Ohio","60426","*****","58766","274","25197","420","12902","441","3539","360","9363","532","12295","425","4069","316","8226","351","12322","455","100","64","1884","266","137","72","15159","710","13427","816","417","158","1315","336","1392","306","355","129","387","160","94","60","259","128","420","216","23","33","1037","260","1660","274"
"0500000US39169","Wayne County, Ohio","116099","*****","111998","499","43824","452","24196","505","5709","423","18487","555","19628","463","6336","380","13292","522","23704","692","111","61","2422","309","109","78","34611","669","32304","739","996","377","1311","272","2328","325","740","186","613","142","128","61","369","92","891","249","173","89","1975","364","4101","499"
"0500000US39171","Williams County, Ohio","36816","*****","35693","307","15090","304","8080","345","2244","220","5836","323","7010","340","2421","235","4589","300","7339","276","56","39","1063","178","55","53","9487","371","8404","396","386","152","697","201","761","212","271","118","241","108","12","14","56","41","237","88","40","60","985","287","1123","307"
"0500000US39173","Wood County, Ohio","130150","*****","123305","1178","50589","665","26740","654","7483","508","19257","654","23849","593","7365","396","16484","655","24168","636","143","72","3316","379","175","78","33454","763","30819","777","885","263","1750","287","2323","361","510","138","866","218","116","69","262","95","519","196","40","34","6824","720","6845","1178"
"0500000US39175","Wyandot County, Ohio","22000","*****","21713","120","9081","223","5053","231","1111","152","3942","221","4028","236","1239","154","2789","247","4735","231","43","37","681","128","9","14","5938","232","5290","249","190","93","458","144","356","101","60","40","53","35","10","12","28","22","247","126","59","64","413","138","287","120"
