"GEO_ID","NAME","B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M","B09019_027E","B09019_027M","B09019_028E","B09019_028M","B09019_029E","B09019_029M","B09019_030E","B09019_030M","B09019_031E","B09019_031M","B09019_032E","B09019_032M","B09019_033E","B09019_033M","B09019_034E","B09019_034M","B09019_035E","B09019_035M","B09019_036E","B09019_036M","B09019_037E","B09019_037M","B09019_038E","B09019_038M"
"0500000US39071","Highland County, Ohio","43031","*****","42492","177","35729","569","11117","408","5619","350","5498","390","8298","410","12365","564","11244","586","331","143","790","223","1242","297","271","118","403","141","101","67","216","112","482","190","1234","286","4","7","147","140","616","137","154","141","313","111","6763","549","5614","392","2643","297","2046","268","597","167","2971","277","2613","254","358","113","1149","256","20","16","236","118","551","115","0","24","342","181","539","177"
"0500000US39073","Hocking County, Ohio","28547","*****","27858","206","23661","426","7731","346","3880","258","3851","305","6057","314","7408","332","6738","367","223","141","447","161","767","161","187","99","232","125","35","35","139","77","350","168","755","163","1","2","6","9","517","137","52","48","179","67","4197","421","3537","301","1785","220","1415","172","370","124","1752","215","1509","193","243","115","660","176","16","26","113","81","465","142","0","21","66","51","689","206"
"0500000US39075","Holmes County, Ohio","43808","*****","42925","226","40213","422","10207","294","6754","317","3453","324","8980","297","18729","422","17976","447","414","148","339","125","565","189","272","117","385","175","85","56","263","126","157","81","570","144","57","44","74","54","203","80","28","28","208","114","2712","345","2313","261","1022","187","827","182","195","89","1291","174","1177","173","114","60","399","154","10","19","111","91","156","71","0","24","122","93","883","226"
"0500000US39077","Huron County, Ohio","58497","*****","57561","365","48825","810","15692","500","7899","436","7793","451","11605","436","17438","461","16384","474","333","135","721","216","1001","215","339","134","347","115","105","55","101","55","790","269","1407","258","74","57","176","98","678","172","33","47","446","131","8736","710","7184","465","3436","311","2781","280","655","181","3748","302","3155","260","593","151","1552","347","127","83","248","97","906","221","0","27","271","153","936","365"
"0500000US39079","Jackson County, Ohio","32624","*****","32269","131","27588","488","8919","429","4583","412","4336","426","6367","377","8815","494","8153","480","70","52","592","245","1240","371","340","135","155","96","0","24","142","100","306","140","1304","315","195","196","97","76","633","189","45","60","334","184","4681","481","4045","392","1660","214","1413","209","247","98","2385","299","2144","282","241","116","636","220","46","75","52","55","334","117","0","24","204","135","355","131"
"0500000US39081","Jefferson County, Ohio","67349","*****","64928","325","52675","762","17570","456","9127","478","8443","450","12751","442","17287","610","16069","625","263","100","955","256","1544","289","535","184","450","157","189","109","143","64","545","152","1661","324","77","49","114","59","871","179","48","41","551","199","12253","784","10001","504","4543","336","3640","281","903","210","5458","350","4769","322","689","149","2252","424","209","111","499","194","908","176","35","33","601","228","2421","325"
"0500000US39083","Knox County, Ohio","60945","*****","57442","347","47374","785","15253","478","8235","432","7018","397","12176","460","16300","545","15354","579","316","110","630","196","1189","272","321","135","405","142","49","42","161","67","346","161","1174","246","6","11","109","74","555","163","37","49","467","149","10068","758","7976","484","4013","327","2933","325","1080","224","3963","322","3400","292","563","146","2092","402","83","60","531","264","1148","239","14","22","316","150","3503","347"
"0500000US39085","Lake County, Ohio","229701","*****","226518","325","186619","1470","61968","835","33113","846","28855","813","47649","845","63343","1045","60353","1076","871","224","2119","342","3609","484","1454","324","1650","260","619","170","675","177","1273","285","4379","644","667","417","528","228","1996","285","74","52","1114","254","39899","1428","33270","887","15577","648","12525","558","3052","414","17693","699","15253","612","2440","360","6629","745","777","238","1438","357","3301","403","0","27","1113","290","3183","325"
"0500000US39087","Lawrence County, Ohio","61057","*****","60373","164","50807","743","15753","610","8051","546","7702","538","11537","563","17575","593","16419","643","261","123","895","268","1983","361","500","195","707","248","129","83","293","112","814","248","1516","405","80","78","171","158","652","164","37","47","576","228","9566","722","7978","504","3542","403","3010","357","532","179","4436","395","3787","372","649","150","1588","350","199","174","182","101","855","200","4","9","348","170","684","164"
"0500000US39089","Licking County, Ohio","170678","*****","166890","366","143192","1189","45132","746","22797","830","22335","798","34743","771","49681","895","45697","1087","1419","348","2565","384","4075","543","963","212","1035","208","608","296","768","187","1696","377","4491","467","144","93","299","140","2531","317","71","67","1446","347","23698","1130","19302","750","9133","536","7098","518","2035","347","10169","563","8660","533","1509","242","4396","578","185","123","738","236","2741","388","5","9","727","233","3788","366"
"0500000US39091","Logan County, Ohio","45323","*****","44909","181","37869","537","12826","495","6716","443","6110","394","9763","457","12506","494","11480","532","203","117","823","260","849","217","227","108","288","130","92","60","81","52","354","170","883","181","1","3","24","24","638","138","20","22","200","94","7040","526","5801","376","2905","292","2320","276","585","169","2896","269","2485","255","411","135","1239","269","27","26","120","79","830","182","0","24","262","170","414","181"
"0500000US39093","Lorain County, Ohio","305405","*****","296062","803","249875","1288","80152","1008","41094","934","39058","1041","57992","929","90890","1211","85893","1163","1430","297","3567","497","6064","813","2320","422","2195","320","592","178","804","190","2386","349","6480","629","193","96","799","248","3543","373","70","67","1875","364","46187","1173","38442","923","17366","704","14199","704","3167","382","21076","765","18392","696","2684","335","7745","638","625","214","2044","427","3700","380","20","31","1356","326","9343","803"
"0500000US39095","Lucas County, Ohio","433404","*****","423581","652","335105","1841","107097","1280","51407","1107","55690","1165","68983","1189","123324","1669","115716","1656","3192","551","4416","438","10191","902","4343","551","3497","531","965","220","1001","200","4683","556","11021","924","746","261","1119","305","5985","577","384","179","2787","662","88476","1734","71874","1195","33856","927","27087","837","6769","560","38018","857","32668","824","5350","421","16602","1010","1555","376","4977","684","7420","523","81","125","2569","492","9823","652"
"0500000US39097","Madison County, Ohio","43732","*****","38638","225","32800","586","10405","340","5420","326","4985","330","7941","314","11260","409","10459","386","271","101","530","144","947","226","297","121","312","116","37","26","80","41","365","131","1156","280","18","21","98","77","608","151","0","24","432","192","5838","538","4511","317","2248","227","1604","220","644","159","2263","202","1944","168","319","108","1327","317","43","55","135","81","702","183","0","24","447","233","5094","225"
"0500000US39099","Mahoning County, Ohio","231857","*****","224938","550","179973","1303","59900","980","29444","806","30456","890","41192","874","63002","1159","59090","1180","1680","404","2232","364","4573","570","2200","367","2040","330","365","124","402","121","2137","406","4162","464","107","47","334","122","2615","308","159","78","947","257","44965","1317","38135","997","17191","766","14461","678","2730","391","20944","753","18828","673","2116","340","6830","699","256","119","1193","299","3540","450","15","24","1826","418","6919","550"
"0500000US39101","Marion County, Ohio","65483","*****","59732","420","49616","691","16223","429","8141","422","8082","424","12109","465","16205","670","15120","612","238","109","847","231","2018","499","272","122","332","122","100","69","173","80","626","250","1558","375","33","44","64","45","910","184","101","178","450","166","10116","581","8476","485","4070","306","3324","296","746","176","4406","338","3945","319","461","115","1640","299","30","29","368","131","738","156","0","27","504","210","5751","420"
"0500000US39103","Medina County, Ohio","176362","*****","174983","296","152235","1031","47971","747","26808","694","21163","723","39637","692","54598","901","51291","1027","1267","239","2040","356","2923","476","985","219","1569","323","552","155","496","141","1062","283","2442","345","52","33","161","87","1350","269","46","55","833","237","22748","997","19221","700","8733","565","7254","478","1479","293","10488","491","9293","471","1195","249","3527","504","188","94","779","314","1875","310","6","11","679","208","1379","296"
"0500000US39105","Meigs County, Ohio","23234","*****","23008","63","19505","366","6339","275","3143","247","3196","249","4658","253","6167","375","5563","426","219","100","385","148","944","258","100","62","192","90","38","42","163","78","176","109","728","186","12","12","182","143","396","112","0","21","138","66","3503","364","2946","267","1646","218","1316","181","330","106","1300","129","1179","127","121","54","557","145","23","23","78","63","364","108","8","11","84","48","226","63"
"0500000US39107","Mercer County, Ohio","40723","*****","40227","170","34795","460","11319","321","6858","368","4461","293","9242","334","12541","362","11568","444","443","128","530","204","394","125","238","89","69","49","83","56","63","42","181","62","665","179","38","35","26","31","386","119","25","20","190","98","5432","451","4823","358","2181","226","1796","214","385","121","2642","231","2442","220","200","79","609","161","29","21","115","80","382","114","0","24","83","65","496","170"
"0500000US39109","Miami County, Ohio","104081","*****","103106","226","85772","953","27003","605","16052","593","10951","623","21400","526","30480","756","28192","720","507","176","1781","340","2080","435","529","198","848","313","159","110","379","130","619","204","2275","474","212","167","162","94","1072","227","55","54","774","294","17334","956","13897","639","6603","484","5006","417","1597","267","7294","469","6321","452","973","226","3437","484","459","246","830","252","1735","280","0","27","413","170","975","226"
"0500000US39111","Monroe County, Ohio","14239","*****","14088","131","12093","246","4222","209","2334","215","1888","170","3235","189","3963","236","3470","402","332","335","161","68","121","44","67","50","52","43","1","3","39","31","89","48","304","107","2","3","32","40","234","99","16","18","20","21","1995","223","1762","194","990","140","877","132","113","44","772","105","726","106","46","27","233","85","0","18","40","38","131","46","0","18","62","52","151","131"
"0500000US39113","Montgomery County, Ohio","531987","*****","515145","695","409726","2318","135301","1578","64858","1185","70443","1340","91355","1483","143907","1726","133879","1931","3394","449","6634","723","13013","970","4116","530","3973","490","969","207","1142","270","4987","667","10963","802","502","168","1445","329","6306","531","169","90","2541","439","105419","2265","88194","1485","40670","1105","33407","1096","7263","537","47524","1136","41554","1020","5970","559","17225","1155","1169","264","5664","736","7642","593","42","31","2708","617","16842","695"
"0500000US39115","Morgan County, Ohio","14773","*****","14598","109","12430","252","4288","217","2388","204","1900","196","3341","212","3646","278","3341","273","95","72","210","83","383","138","53","36","75","57","0","18","40","36","149","66","455","169","2","3","24","25","228","82","70","99","131","85","2168","253","1828","186","834","121","684","100","150","62","994","129","895","136","99","46","340","113","11","15","20","19","219","79","0","18","90","59","175","109"
"0500000US39117","Morrow County, Ohio","34935","*****","34630","102","30435","474","9339","337","5055","397","4284","374","7495","338","9916","570","8750","534","464","236","702","230","1476","386","320","177","197","128","60","67","169","92","426","211","1037","309","64","71","118","98","364","139","0","24","491","207","4195","452","3442","332","1619","271","1254","248","365","125","1823","232","1527","214","296","144","753","206","95","110","45","52","501","165","0","24","112","88","305","102"
"0500000US39119","Muskingum County, Ohio","85933","*****","84006","304","69765","831","22488","581","11062","570","11426","578","16509","525","24217","552","22420","637","551","244","1246","299","1774","353","627","177","618","156","151","79","176","65","719","203","2486","389","208","155","62","51","1257","211","98","111","861","239","14241","854","11860","617","5469","455","4477","437","992","207","6391","465","5536","418","855","195","2381","392","77","53","532","173","1250","259","0","27","522","186","1927","304"
"0500000US39121","Noble County, Ohio","14498","*****","11957","230","10097","302","3394","236","2201","224","1193","183","2879","230","2958","226","2743","247","31","33","184","86","202","70","90","94","118","115","48","67","58","63","179","128","171","82","5","7","3","5","47","25","35","45","81","65","1860","274","1618","212","922","164","844","154","78","45","696","131","650","125","46","32","242","103","19","32","78","81","120","52","0","18","25","27","2541","230"
"0500000US39123","Ottawa County, Ohio","40769","*****","39946","248","33405","509","11836","381","6329","359","5507","325","9265","333","9805","413","9000","450","224","90","581","193","783","268","196","101","161","70","33","22","64","35","245","128","1017","208","62","44","48","44","655","173","2","3","250","81","6541","477","5659","368","2783","254","2294","233","489","123","2876","243","2581","221","295","94","882","205","74","64","138","123","538","125","0","24","132","67","823","248"
